TS - 541095872; TJ - 540659241
TS - 498654020; TJ - 498038835
TS - 525715906; TJ - 525228820
TS - 474668919; TJ - 474295924
TS - 498886451; TJ - 498433261
TS - 501823121; TJ - 501394655
TS - 528553618; TJ - 528120244
TS - 587423858; TJ - 586816041
TS - 610677187; TJ - 610290308
TS - 627638078; TJ - 626821054
TS - 568764667; TJ - 568270294
TS - 541997809; TJ - 541593452
TS - 639508768; TJ - 639085838
TS - 588662997; TJ - 588180448
TS - 601715892; TJ - 600012044
TS - 953894336; TJ - 952816276
TS - 653438145; TJ - 653036375
TS - 556397629; TJ - 555928922
TS - 577907960; TJ - 577531083
TS - 606889836; TJ - 606489109
TS - 600996355; TJ - 600607537
TS - 743167025; TJ - 742822703
TS - 620248315; TJ - 619882248
TS - 527019169; TJ - 526628048
TS - 551555499; TJ - 551158376
TS - 560630637; TJ - 560277405
TS - 659380212; TJ - 658890281
TS - 537733118; TJ - 537399211
TS - 606975101; TJ - 606336044
TS - 652008301; TJ - 651529690
TS - 579571726; TJ - 579125986
TS - 552908962; TJ - 552435020
TS - 600142433; TJ - 599655639
TS - 529093016; TJ - 528636778
TS - 561880493; TJ - 561548549
TS - 558957591; TJ - 558519401
TS - 599719536; TJ - 599293821
TS - 648575914; TJ - 648145791
TS - 575141646; TJ - 574588955
TS - 577796557; TJ - 577306903
TS - 611556849; TJ - 611147678
TS - 538117793; TJ - 537687914
TS - 552332638; TJ - 551876747
TS - 663815069; TJ - 663330390
TS - 493146660; TJ - 492609919
TS - 566227347; TJ - 565794540
TS - 546728126; TJ - 546311862
TS - 540043017; TJ - 539698269
TS - 590364781; TJ - 589728557
TS - 703495123; TJ - 702749870
TS - 632069709; TJ - 631539243
TS - 571082168; TJ - 570220084
TS - 660608337; TJ - 660188330
TS - 1009490332; TJ - 1008290506
TS - 650841450; TJ - 650444885
TS - 709676997; TJ - 709185559
TS - 616394915; TJ - 615902773
TS - 529509383; TJ - 529037668
TS - 633403409; TJ - 633028398
TS - 547091953; TJ - 546729587
TS - 511890463; TJ - 511498190
