p-LB18,Los Ambiciosas,1959,Bunuel,8.900000
p-AnW10,Split: William to Chrysis,1992,Weeks,14.690000
p-RoR10,Lilith,1964,Rossen,11.920000
p-RWa65,A Girl, a Guy, and a Gob,1941,Ri.Wallace,5.300000
p-LeG33,Casanova in Burlesque,1944,Goodwins,6.330000
p-WWh50,Final Escape,1964,Whitney,15.900000
p-TYg8,Safari,1956,T.Young,18.420000
p-RdR10,Gold Diggers of Broadway,1929,delRuth,17.580000
p-KRu9,Lisztomania,1975,K.Russell,10.090000
p-MBa27,Keep Your Seats Please,1936,Banks,9.730000
p-LeG36,The Mummy's Curse,1944,Goodwins,8.430000
p-FZ20,Julia,1977,Zinneman,13.240000
p-DCr15,Scanners,1980,Cronenberg,19.240000
p-GrB10,Alien Nation,1988,G.Baker,17.190001
p-KRu6,The Boyfriend,1971,K.Russell,18.889999
p-GDo32,The Charge at Feather River,1953,G.Douglas,19.930000
p-KRu8,Tommy,1975,K.Russell,13.250000
p-MRy21,Intersection,1994,Rydell,15.180000
p-DCr18,Videodrome,1983,Cronenberg,7.790000
p-FdC23,Frankie and Johnny,1966,deCordova,14.470000
p-PWr14,Green Card,1989,Weir,8.550000
p-CWr3,A Day in the Life of Ivan Denisovitch,1971,Wrede,13.030000
p-RSt342,Appointment at Eleven,1959,R.Stevens,9.790000
p-RSt344,The Greatest Monster of Them All,1961,R.Stevens,19.270000
p-HCn10,Hunger,1992,Carlsen,10.150000
p-WWn200,The Cool and the Crazy,1958,Witney,9.920000
p-RoA25,Hush Hush, Sweet Charlotte,1964,Aldrich,17.700001
p-RSt336,Design for Loving,1958,R.Stevens,6.930000
p-VdS8,The Gold of Naples,1952,deSica,9.330000
p-RoA26,The Flight of the Phoenix,1965,Aldrich,13.310000
p-RSt337,A Man with a Problem,1958,R.Stevens,6.840000
p-RSt339,I'll Take Care of You,1959,R.Stevens,11.710000
p-ThR10,What a Life,1939,T.Reed,7.310000
p-RdR44,Lady Killer,1933,delRuth,16.889999
p-TKg10,Gate of Hell,1954,Kinegusa,10.190000
p-RoA28,Dirty Dozen,1966,Aldrich,8.300000
p-AES74,International House,1933,A.E.Sutherland,15.100000
p-WW64,The Heiress,1949,Wyler,17.240000
p-WW63,The Best Years of our Lives,1946,Wyler,19.490000
p-WW66,Carrie,1952,Wyler,16.750000
p-xCm20,Ulysses,1954,Camerini,16.480000
p-WW65,Detective Story,1951,Wyler,6.130000
p-RoA22,Sodom and Gomorrah,1962,Aldrich,7.740000
